Sample,Latency_secs
0,0.004486125
1,0.000510208
2,0.00083175
3,0.000661625
4,0.000586
5,0.001329
6,0.001127416
7,0.001003666
8,0.000925208
9,0.001212208
10,0.000951833
11,0.000895041
12,0.0013355
13,0.001348833
14,0.001084583
15,0.000792125
16,0.001293916
17,0.00127775
18,0.000791041
19,0.000924333
20,0.000937125
21,0.001082333
22,0.001460291
23,0.001552416
24,0.000866291
25,0.001140041
26,0.000823583
27,0.001379791
28,0.00133725
29,0.000666708
30,0.000791041
31,0.000924875
32,0.001049625
33,0.00083175
34,0.001206666
35,0.001127875
36,0.0007285
37,0.000862458
38,0.001259291
39,0.000697791
40,0.000742583
41,0.001250625
42,0.000964041
43,0.000622
44,0.001099916
45,0.001271791
46,0.000797791
47,0.000758
48,0.001065375
49,0.001041125
50,0.000728708
51,0.000681833
52,0.000993416
53,0.000966666
54,0.000667458
55,0.00093325
56,0.001263125
57,0.000692833
58,0.00122325
59,0.000939416
60,0.001033583
61,0.000795291
62,0.00078525
63,0.00114625
64,0.000991333
65,0.0009215
66,0.00098375
67,0.001149916
68,0.000886666
69,0.001041666
70,0.001038375
71,0.000791541
72,0.000853791
73,0.000844333
74,0.000847083
75,0.000718041
76,0.001031375
77,0.001148791
78,0.000595291
79,0.000928041
80,0.00081025
81,0.0007705
82,0.000713375
83,0.001269541
84,0.00099225
85,0.000907
86,0.001245625
87,0.001048416
88,0.000741041
89,0.000661833
90,0.000870375
91,0.00082725
92,0.00299375
93,0.000742375
94,0.000915916
95,0.000759333
96,0.000782083
97,0.000980041
98,0.001250583
99,0.000805416
100,0.000870958
101,0.001024375
102,0.001076833
103,0.000709333
104,0.00106925
105,0.001417833
106,0.000701416
107,0.00071625
108,0.00082625
109,0.0011425
110,0.000794583
111,0.001024458
112,0.001284291
113,0.000965666
114,0.000738083
115,0.000915833
116,0.001099625
117,0.000846416
118,0.001116791
119,0.001458875
120,0.001081083
121,0.000645041
122,0.000957666
123,0.001138833
124,0.000800583
125,0.001368958
126,0.001140458
127,0.000783083
128,0.001104541
129,0.001022208
130,0.0010065
131,0.000730291
132,0.00085475
133,0.001258875
134,0.001051
135,0.000936833
136,0.000995416
137,0.001279
138,0.000969958
139,0.001213541
140,0.001121625
141,0.001120208
142,0.001148708
143,0.001186083
144,0.001135291
145,0.0007485
146,0.000809791
147,0.000999041
148,0.001071958
149,0.000908333
150,0.001121083
151,0.001063833
152,0.000631666
153,0.00111925
154,0.001330708
155,0.000942541
156,0.00079825
157,0.00064475
158,0.001022791
159,0.000611708
160,0.000622
161,0.000545125
162,0.00079225
163,0.000776916
164,0.000706791
165,0.000851375
166,0.000899791
167,0.000633041
168,0.000690916
169,0.000862083
170,0.000889
171,0.0008455
172,0.000888625
173,0.000634916
174,0.000766666
175,0.001104541
176,0.001208708
177,0.000894833
178,0.00105825
179,0.000833708
180,0.000928416
181,0.000756083
182,0.000985166
183,0.0010415
184,0.000796666
185,0.000826
186,0.001021291
187,0.000752041
188,0.00100175
189,0.001184458
190,0.000751083
191,0.000824208
192,0.001136541
193,0.001048583
194,0.000668166
195,0.000769875
196,0.001015541
197,0.001104
198,0.000694041
199,0.001284666
200,0.001145625
201,0.001088416
202,0.000847875
203,0.000924083
204,0.000693666
205,0.000608458
206,0.000854916
207,0.00099325
208,0.000729166
209,0.000902958
210,0.000878875
211,0.000884
212,0.000648833
213,0.000811208
214,0.000976375
215,0.000672125
216,0.000881958
217,0.000900416
218,0.000971375
219,0.00060125
220,0.000919958
221,0.001181
222,0.001006416
223,0.000686416
224,0.000868416
225,0.000954958
226,0.000632333
227,0.000787291
228,0.001225625
229,0.000970166
230,0.000884916
231,0.00089725
232,0.001055416
233,0.000728833
234,0.000960416
235,0.001195375
236,0.001054166
237,0.000794208
238,0.00092575
239,0.001067708
240,0.000843583
241,0.000895666
242,0.001004625
243,0.000877416
244,0.00077775
245,0.001034333
246,0.000946875
247,0.000717958
248,0.00096875
249,0.000973458
250,0.000685416
251,0.00072075
252,0.001107541
253,0.001056583
254,0.000948625
255,0.001151833
256,0.001174208
257,0.000745375
258,0.000836791
259,0.001046625
260,0.001065791
261,0.000719458
262,0.000829666
263,0.001147708
264,0.000998166
265,0.000759791
266,0.000928
267,0.001109041
268,0.000686833
269,0.000957041
270,0.000978166
271,0.001089291
272,0.000642958
273,0.000855666
274,0.000726083
275,0.000892166
276,0.000868041
277,0.001062416
278,0.000679166
279,0.000666958
280,0.000839458
281,0.001011041
282,0.000818583
283,0.001036333
284,0.000976875
285,0.00111275
286,0.0006895
287,0.000886166
288,0.0008775
289,0.000577041
290,0.000827125
291,0.000945208
292,0.000633958
293,0.00085475
294,0.001023958
295,0.000980166
296,0.00069075
297,0.000873125
298,0.001000083
299,0.000743125
300,0.000986166
301,0.001105625
302,0.000995166
303,0.000853916
304,0.00130975
305,0.000922
306,0.000682333
307,0.000785458
308,0.001074458
309,0.000689958
310,0.000885583
311,0.000978291
312,0.001084625
313,0.000705458
314,0.000943291
315,0.000996208
316,0.000677958
317,0.000769083
318,0.001024625
319,0.000753458
320,0.000704291
321,0.000793
322,0.001196625
323,0.000786083
324,0.000729166
325,0.000925875
326,0.001040458
327,0.000734125
328,0.0010295
329,0.001049833
330,0.000811208
331,0.00074225
332,0.001792416
333,0.000606708
334,0.00058025
335,0.000581666
336,0.000538666
337,0.0004815
338,0.000582916
339,0.000622041
340,0.00065175
341,0.000571333
342,0.000638458
343,0.000584583
344,0.000670958
345,0.000614416
346,0.000621666
347,0.000770125
348,0.000753708
349,0.000788791
350,0.00107675
351,0.001194
352,0.000690041
353,0.00083425
354,0.001133916
355,0.001204125
356,0.000829666
357,0.00145775
358,0.001074375
359,0.000653583
360,0.001062416
361,0.001078208
362,0.000661708
363,0.00077575
364,0.000968708
365,0.000946875
366,0.000761625
367,0.000805
368,0.000993833
369,0.000593125
370,0.000814958
371,0.00101
372,0.000713958
373,0.00077175
374,0.00081475
375,0.000995083
376,0.000614625
377,0.000746375
378,0.000878125
379,0.000702666
380,0.000816666
381,0.001057833
382,0.000763708
383,0.000713458
384,0.000862958
385,0.000963916
386,0.001099875
387,0.000718333
388,0.000957375
389,0.001100833
390,0.000658
391,0.000987541
392,0.001021625
393,0.000660875
394,0.000674208
395,0.000992125
396,0.001183666
397,0.000757166
398,0.000934291
399,0.000769125
400,0.000576083
401,0.00060075
402,0.000848875
403,0.001147833
404,0.000947291
405,0.000633208
406,0.000717666
407,0.000981458
408,0.000619625
409,0.000640333
410,0.000911166
411,0.001010416
412,0.000714
413,0.000934916
414,0.00122425
415,0.001078
416,0.000945083
417,0.001058666
418,0.001030666
419,0.000885375
420,0.005927375
421,0.000810583
422,0.001011416
423,0.000726125
424,0.000912958
425,0.000828666
426,0.000653333
427,0.00078075
428,0.001096333
429,0.000631958
430,0.000890041
431,0.0007215
432,0.000838333
433,0.000513291
434,0.000651916
435,0.001064791
436,0.000595125
437,0.000673916
438,0.000806625
439,0.001029041
440,0.000570791
441,0.000960083
442,0.001189958
443,0.000552625
444,0.000804458
445,0.000987875
446,0.001258333
447,0.000880708
448,0.000915875
449,0.00121725
450,0.001036125
451,0.000689791
452,0.001055708
453,0.001068041
454,0.000649166
455,0.001013041
456,0.000790666
457,0.001017625
458,0.001446041
459,0.001110541
460,0.001026375
461,0.000623333
462,0.000861583
463,0.001001625
464,0.001068458
465,0.000850666
466,0.000908041
467,0.001049958
468,0.000683416
469,0.001136666
470,0.000921166
471,0.000989083
472,0.000570875
473,0.001284458
474,0.001147333
475,0.0007655
476,0.000722208
477,0.001141875
478,0.000821291
479,0.000883041
480,0.000885833
481,0.001173291
482,0.000995416
483,0.001023416
484,0.001097208
485,0.000755083
486,0.000817416
487,0.000871083
488,0.001134916
